TransactionID,Date,Revenue
1,2026-01-03,25000
2,2026-01-05,45000
3,2026-01-07,85000
4,2026-01-09,120000
5,2026-01-12,180000
6,2026-01-14,65000
7,2026-01-16,95000
8,2026-01-18,220000
9,2026-01-21,140000
10,2026-01-24,35000
11,2026-01-26,170000
12,2026-01-28,90000
13,2026-02-02,110000
14,2026-02-05,50000
15,2026-02-08,130000
16,2026-02-11,70000
17,2026-02-14,250000
18,2026-02-17,40000
19,2026-02-20,160000
20,2026-02-24,100000
21,2026-03-01,115000
22,2026-03-04,55000
23,2026-03-07,145000
24,2026-03-10,80000
25,2026-03-13,210000
26,2026-03-16,30000
27,2026-03-19,190000
28,2026-03-22,125000
29,2026-03-25,60000
30,2026-03-28,155000
